cand_kb,Kam Buckner,Kam Buckner
cand_kb,Kam Buckner,Kambium “Kam” Buckner
cand_kb,Kam Buckner,Kam Buckner’s
cand_kb,Kam Buckner,Rep. Buckner
cand_kb,Kam Buckner,Representative Buckner
cand_kb,Kam Buckner,Kambium Elijah 'Kam' Buckner
cand_kb,Kam Buckner,Kambium Elijah Buckner
cand_cg,Chuy García,‘Chuy’ García
cand_cg,Chuy García,Jesús “Chuy” García
cand_cg,Chuy García,Jesus “Chuy” Garcia
cand_cg,Chuy García,‘Chuy’ Garcia
cand_cg,Chuy García,Jesus 'Chuy' Garcia’s
cand_cg,Chuy García,Chuy
cand_cg,Chuy García,Chuy Garcia
cand_cg,Chuy García,Rep. Garcia
cand_cg,Chuy García,Congressman Garcia
cand_cg,Chuy García,Representative Garcia
cand_cg,Chuy García,Rep. García
cand_cg,Chuy García,Representative García
cand_cg,Chuy García,Congressman García
cand_cg,Chuy García,Jesus “Chuy” García
cand_cg,Chuy García,Jesús “Chuy” Garcia
cand_jg,Ja'Mal Green,Ja'Mal Green
cand_jg,Ja'Mal Green,Jamal Green
cand_bj,Brandon Johnson,Brandon Johnson
cand_bj,Brandon Johnson,Brandon Johnson’s
cand_bj,Brandon Johnson,Comissioner Johnson
cand_sk,Sophia King,Sophia King
cand_sk,Sophia King,Alderman King
cand_sk,Sophia King,Sophia D. King
cand_sk,Sophia King,Ald. King
cand_rs,Roderick Sawyer,Roderick Sawyer
cand_rs,Roderick Sawyer,Roderick T. Sawyer
cand_rs,Roderick Sawyer,Ald. Sawyer
cand_rs,Roderick Sawyer,Alderman Sawyer
cand_rs,Roderick Sawyer,Roderick Terrance Sawyer
cand_pv,Paul Vallas,Paul Vallas
cand_pv,Paul Vallas,Paul Gust Vallas
cand_pv,Willie Wilson,Willie Wilson
cand_ww,Willie Wilson,Willie Lee Wilson
cand_ll,Lori Lightfoot,Lightfoot
cand_ll,Lori Lightfoot,Lightfoot’s